task,template_name,instruction,template-demo,template-query,targets
rte,tf-null,,{premise} {hypothesis} {label},{premise} {hypothesis},True;False
rte,gpt3-style,,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s,"Given the first sentence, answer the following question.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions.",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False. ",{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-inline,,"Given the first sentence, answer the following question. {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-m-inline,,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-l-inline,,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-xl-inline,,"Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False.  {premise} question: {hypothesis} True or False? answer: {label}","Given the first sentence, answer the following question. If the question entails the first sentence, the answer is True otherwise False. To understand it more clearly, let us define entailment. Entailment is a logical relationship between two or more propositions. Therefore if the first sentence and the question are logically related and the question follows the first sentence then we say the answer is True otherwise the answer is False. {premise} question: {hypothesis} True or False? answer: ",True;False
rte,tf-s-inline-r,,choler pneumodynamics unrulableness ult. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ult. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-inline-r,,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpog. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpog. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-inline-r,,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonz. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonz. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-inline-r,,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mir. {premise} question: {hypothesis} True or False? answer: {label},choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mir. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-inline-f,,the of in and a to was is on for. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-inline-f,,the of in and a to was is on for as with by he that at from his at an were which are also this. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for as with by he that at from his at an were which are also this. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-inline-f,,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-inline-f,,the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season most world state up city some university while made about then three united him such out team film used. {premise} question: {hypothesis} True or False? answer: {label},the of in and a to was is on for as with by he that at from his at an were which are also this had be first or has their after its she new one her who but not they have two been other during when into all time there may more school years would over later between where only national season most world state up city some university while made about then three united him such out team film used. {premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-s-r,choler pneumodynamics unrulableness ult,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-m-r,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpog,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-l-r,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonz,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
rte,tf-xl-r,choler pneumodynamics unrulableness ultimateness terebinthina avast expellable carpogone odontoloxia teleost mobed netman roomward janiceps tribasic disenthralment bonzian noreaster amyroot xylate unlodged kinospore Melicertidae psychokinesia tempter thalasso absorb skene mir,{premise} question: {hypothesis} True or False? answer: {label},{premise} question: {hypothesis} True or False? answer: ,True;False
